id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length
S6DKG,P6LJ,Recreation room / Man cave,6,6,Yes,"Person sneezes, then grasps for an empty box of tissue on the wardrobe.",box;desk;shelf;table,"A person sneezes before grabbing a box sitting on a table.;A person sneezes, then moves a box around on a table.;A person walks over to a desk, sneezes, fiddles with a box, and walks away.",c043 10.30 18.10;c153 5.50 11.40;c012 13.10 18.70;c081 11.30 17.00,21.54
MF8AX,C7O9,Kitchen,5,6,Yes,A person is running into a kitchen while holding dishes.  Then a person is putting the dishes down near a vaccuum in the kitchen.,dish;floor;vacuum,"A person runs into a room, moves some dishes around on the floor, and touches the vaccuum before leaving.;A person places dishes on the floor around a vacuum cleaner.",c119 9.70 18.70;c137 21.00 27.60;c127 3.60 24.00;c150 0.00 4.70,30.25
C0EJT,XXN8,Recreation room / Man cave,6,6,Yes,Person is standing in the doorway and laughing in the mirror.,doorway;mirror,"A person is standing in doorway, looks into the mirror and starts laughing to themselves.",c094 0.00 31.80;c096 0.00 31.80;c149 0.00 32.00;c152 0.00 32.10,32.38
D0YWV,RPBD,Entryway (A hall that is generally located at the entrance of a house),6,7,Yes,"A person returns home, holding their phone, and closes the door. The person throws their phone onto the table.",door;phone,A person is walking through a door the closing it and holding a phone in their hands.,c015 6.60 29.00;c006 6.70 13.20;c008 3.40 11.40;c097 3.10 11.60;c141 2.60 10.00,27.67
56XCX,KFGP,Closet / Walk-in closet / Spear closet,5,7,Yes,The person grasps a pair of shoes from behind the cabinet door before sitting down to put them on.,cabinet;chair;door;shoe,A person walks down a hallway then sits in a chair to put on their shoes.,c055 9.60 30.70;c059 8.70 32.00;c151 6.60 12.70,30.83
HD6GF,WG9D,Laundry room,4,5,Yes,The person is putting clothes on a cabinet.  They are smiling and then they start sneezing.,cabinet;clothes;shelf,A person is folding clothes and putting them in a cabinet.,c001 0.00 4.50;c002 0.00 7.00;c004 0.00 3.70;c152 0.00 7.00;c081 0.00 4.60,6.42
UAIHK,OVS2,Bedroom,7,6,Yes,"A person is awakening, then throwing a pillow, then dressing and finally using a laptop in a bedroom.",bed;blanket;clothes;laptop;pants;pillow;shirt,"A person wakes up and begins dressing, they then grab their laptop and open it and begin working.;A person is lying in bed. A person awakes. A person then puts on their pants and their shirt. A person then sits in bed and opens a laptop.",c048 27.80 35.00;c154 4.90 13.60;c135 26.90 38.00;c146 0.00 4.80;c151 24.10 32.90;c134 0.00 6.30;c133 0.00 6.30;c148 8.80 29.80;c002 7.90 22.50;c072 0.00 2.90;c075 25.40 32.40,37.21
P31E5,JVLO,Entryway (A hall that is generally located at the entrance of a house),7,1,No,A person is sneezing after taking a sip of coffee then watches the vacuum nearby.,cup;door;glass;shelf;soda,"A boy walks up to a windowsill, takes a can of soda from it, then walks to the doorway and leans in the doorway drinking it.;A person walks into a room and takes a glass of a shelf. The person walks over to a door and drinks from the glass. The person then sneezes ans take another drink.",c106 10.40 19.70;c110 2.00 9.00,31.00
UCX0K,9PLL,Bathroom,6,7,Yes,A person is sneezing on a picture while a person is awakening in a blanket.,blanket,{},c072 0.00 20.80;c153 0.00 8.30,33.88
HYD3N,ZAWX,Entryway (A hall that is generally located at the entrance of a house),4,7,Yes,A person is in the entryway holding a phone and putting a sandwich in a towel.,chair;dish;food;phone;plate;sandwich,Person standing holding plate of food and playing with phone in other hand. Person bends and place plate of food on chair and walks away.;A person is looking at a phone while holding a sandwich. A person puts a sandwich down on a chair.,c015 0.00 26.70;c016 0.00 26.70;c067 0.00 24.90;c118 0.00 25.50;c119 22.60 32.00;c062 20.40 27.00;c061 0.00 27.20;c068 20.40 27.00,30.88
KYFKN,HR43,Bedroom,7,7,Yes,A person in the bedroom is tidying up laughing by the window and laughing while looking at the laptop on the bed.,bed;blinds;broom;floor;laptop;objects,"A person is using a broom to tidy up a room they move the laptop and sweep the room.;A person sweeps the floor, adjusting a laptop, touching the blinds, and picking one object off the floor and putting it on the bed.",c102 4.70 15.20;c127 11.30 17.20;c051 12.60 19.20;c098 0.00 30.00,28.88
HYIZD,C7O9,Stairs,6,6,Yes,"A person is grasping the handrail up the stairs, with a towel draped over their shoulder, and a broom in the other hand.  They start tidying up on the stairs with the towel and broom.",broom;floor;rail;steps;towel,"A couple of people cleaning a stairway.The one person is wiping down the railing of the stairs. The second person is carrying a broom and starts swiping the steps and smiling .;A person is holding a broom on the stairs they give the broom to the second person who begins sweeping, while the first person cleans the stairs with a towel.",c033 0.90 31.00;c035 0.90 5.90;c038 2.20 31.00;c098 0.00 31.00;c100 0.30 5.60;c102 2.10 31.00;c127 2.80 31.00,30.17
4MUXJ,6RE8,Kitchen,5,4,Yes,A person is taking groceries out of a bag and fixing the door in a pantry.,bag;door;groceries,"A person is holding a bag of groceries. A person begins putting items in the bag. A person then puts the bag down, and closes the door.",c008 23.70 29.10;c021 5.90 11.70;c130 8.50 13.90;c006 25.70 31.00;c020 0.90 25.70;c022 18.10 23.60,30.42
9ALI5,XXN8,Bedroom,6,7,No,Person is lying on kitchen floor and smiling while doing homework and eating food.,floor;food;homework,A person is smiling while reading a book and eating something off a plate.,,30.25
YJ06D,P6LJ,Recreation room / Man cave,7,7,Yes,A person is walking through the door. The person turns the light on and begins laughing as the person opens the wardrobe.,closet/cabinet;door;light;table;wardrobe,"A person walks in the room, turns on the light and does something with a wardrobe.",c008 0.80 7.70;c104 13.90 19.50;c154 26.80 34.40;c114 18.90 31.00,35.33
G1BT8,ID9V,Garage,5,7,Yes,A person is tidying up a wardrobe dresser in a garage then grasps a book.,book;closet;wardrobe,A person opens and closes some drawers on a dreser. They take a book of the top and look at it.,c113 0.00 5.20;c032 20.60 28.20,27.58
RXF2Q,6RE8,Entryway (A hall that is generally located at the entrance of a house),6,7,No,"A person is walking over to their desk. Then, sitting down, the person opens up their laptop.",clothes;desk;doorknob;doorway;hair;hat;laptop;table,"A person enters the room and closes the door. They take off their hat, sniff it, and put it back on. They then sit at a desk and open the laptop.",c011 23.60 35.00;c048 25.40 33.50;c001 3.50 20.40;c141 0.00 5.30;c151 20.50 28.20;c097 0.00 4.40;c144 5.10 13.00,34.33
NGZQ9,H8N1,Dining room,5,7,Yes,"A person stands in the dining room, drinking a glass of water. The person moves some clothes that are on the shelf, then sets the glass down in the cleared space.",bag;clothes;counter;cup;glass;water,A person is drinking a cup of water then picks up a pile of clothes and puts then away. The person then sets cup down on counter and leaves.;a person drinks from a glass then grabs a bag and brings the glass back,c023 13.70 21.80;c000 14.10 20.00;c109 12.50 19.00;c106 0.30 6.20,35.25
TTLFX,L4ZP,Bathroom,6,7,Yes,A person is standing in the bathroom looking at themselves in the mirror.  The person takes a pillow out of a box on the floor and tidies up the other items in the box underneath the pillow.,box;hair;mirror;pillow,A person grooms themselves while looking in a mirror. They then lean down and pull a pillow out of a box.,c079 10.70 16.60;c044 10.70 16.60;c096 0.00 11.70;c144 0.00 9.40,29.46
P2HZG,DXDI,Kitchen,6,7,Yes,A person is laughing at a video on their laptop in their kitchen. They close the laptop and put it in a cabinet.,cabinet;laptop;shelf;table;video,"A person is sitting at the dining room table and takes the laptop to the kitchen, an opens a cabinet.",c046 4.00 10.20;c047 7.40 14.20;c112 23.20 29.20;c113 13.00 18.40;c081 16.00 26.90;c011 0.00 9.30,30.92
GJJA1,6PZN,Bedroom,5,7,No,A person in the closet is holding some medicine in one hand a pillow in the other hand. They begin putting both items down and start playing with their phone.,bed;phone;pillow,A person holds a pillow and then folds a paper. The person puts down the paper and pillow and plays with a phone.;There is a person standing in the room holding a pillor and a phone. That same person puts the pillow on the bed and works on their phone.,c076 0.00 12.20;c015 0.00 33.00;c016 0.00 8.00;c080 7.20 12.10,32.42
P3EW1,DLI2,Living room,6,7,Yes,A smiling person is sitting on a sofa in a living room taking off their shoes. The person starts eating a cookie.,cookie;food;shoe;sofa,A person sits on a sofa and takes off their shoes. The person then eats a cookie.,c053 9.30 14.30;c057 2.10 14.70;c123 0.00 40.00;c152 0.00 17.20;c156 16.50 39.80;c054 4.00 9.20;c063 10.10 15.30;c061 16.30 40.00,38.92
O76N2,H8N1,Bathroom,7,7,Yes,A person is tidying up the bathroom by putting all the trash on the table into a bag. They are working very hard on this task.,bag;table,"A person opens a bag and puts some items into it, before putting the bag on a table.",c009 15.70 24.20;c021 0.00 9.50;c023 0.00 5.60,24.54
TE34B,Z68L,Kitchen,6,6,Yes,"The person is working at a computer, and gets a phone call. Person walks outside to get groceries from car and stores them under the sink.",bag;closet/cabinet;groceries;laptop;phone;sink,"A person walks into the room and works on a laptop.  They pick up a phone to answer it, then walk out of the room holding the phone.  They reenter the room holding a bag of groceries, which they place in the refrigerator, then walk out again.",c015 8.60 26.50;c018 7.10 17.70;c130 58.30 69.60;c052 1.30 15.50;c020 55.40 68.50;c022 61.60 68.50;c113 60.90 65.60;c019 14.10 21.40,73.04
1MD1H,4YWP,Living room,6,6,Yes,"A person awakens on the sofa in a living room. The person, still lying there, removes their shoes, and grabs a bag from a nearby shelf.",bag;blanket;clothes;floor;pillow;shoe;sofa,A person is sleeping on a couch with a blanket and pillow they wake up take off their shoes and go over to a table and grab a bag then they sit back down on the couch.,c020 21.10 33.00;c122 0.00 15.50;c146 6.60 13.50;c023 21.10 27.20;c154 19.10 27.90;c057 11.50 19.20;c073 10.80 18.10;c155 15.40 22.30;c021 22.90 31.80;c070 8.40 12.60;c072 0.00 11.90;c151 27.90 33.00;c078 0.00 9.30;c126 13.30 18.10;c123 28.40 33.00;c074 9.20 14.50;c058 13.00 23.00,32.50
C5044,2RTW,Living room,6,6,Yes,"Person walks into the living room while eating a sandwich.  Person turns on television and stands in front of it.  Person picks up bottle from coffee table, opens the bottle, and starts drinking.",cup;food;remote;sandwich;table;television;tv;water bottle,"person turns on tv, picks up water bottle and drinks from it.;A person walks into the room holding food, first they set the food on a table and pick up a cup, then they turn on the tv and drink from the cup while watching tv",c009 4.70 13.30;c106 11.80 32.00;c132 7.90 32.00;c065 0.00 14.10,31.29
TIGIP,2RTW,Living room,6,6,Yes,"A person enters through the door way and sits down on a couch. They grab a blanket and pull it on to their lap, then reach over on to a table and grasp a remote. A person uses the remote to turn on the TV and watches tv.",blanket;door;sofa;table;television,"A person opens a door and walks in to a room then closes the door. The person sits on the sofa and puts a blanket to their legs, and turns a TV on with a remote which was on a table.",c006 3.50 9.20;c070 10.10 22.20;c123 8.40 13.50;c008 0.00 5.80;c071 11.70 21.60;c132 19.70 39.00;c151 8.40 15.00;c072 10.60 39.00;c073 10.10 39.00;c097 2.30 6.50,37.62
8TNSB,0KZ7,Basement (A room below the ground floor),6,7,Yes,A person opens the door and another person comes running through tripping on a pair of shoes.,door,A person opens a door. A second person runs through the door.,c008 2.80 10.10;c150 3.00 12.20;c141 0.00 8.60;c097 5.40 10.10,25.12
MLBTH,2RTW,Living room,6,6,Yes,"A person opens a laptop, then starts to eat some groceries left on the coffee table.",bag;desk;food;groceries;laptop;sofa;table,A person is sitting on a sofa at a desk. The person opens up a laptop. The person then opens and eats a bag of food from a bag of groceries while looking at the computer.;A person sits on a sofa and opens a laptop. The person grabs food out of a bag and begins eating.,c011 0.00 32.00;c048 0.00 8.00;c051 4.00 32.00;c156 15.90 32.00;c021 13.00 21.00;c061 10.90 18.80;c062 17.90 23.10;c123 0.00 32.00;c063 9.50 15.60,30.54
8X49S,HJJ4,Home Office / Study (A room in a house used for work),2,1,Yes,A person is fixing their laptop. They eat some food and drink some water.,chair;cup;desk;food;glass;laptop;sandwich;water,"A person sits in a chair and eats a sandwich while drinking from a glass.;A person is sitting on a chair, typing on their laptop, located on their desk. The person takes a drink of water from a glass on the desk. The person then picks up a sandwich and takes a bite, and then goes back to typing.",c106 7.00 13.70;c052 0.00 22.00;c156 1.40 8.40;c059 0.00 22.00;c065 1.30 8.50;c110 6.10 12.20;c063 9.00 14.00;c061 10.30 16.60,21.21
6FASX,D0RU,Living room,7,7,Yes,"A person stands on a chair in the closet, trying to reach something on a high shelf. The person gives up and gets down, then takes a drink from a glass of water.",chair;cup;glass;shelf;something;water,A person moves a chair into a room then stands on it to reach for something high up on a shelf. They then move the chair and sit down on it in front of the TV.,c107 25.80 34.00;c059 26.60 34.00;c060 5.10 25.00;c151 26.00 34.00;c082 8.00 22.00,33.08
D4XVH,9PLL,Entryway (A hall that is generally located at the entrance of a house),7,6,Yes,One person stands in the entryway with a book eating food from dishes on a shelf.,book;dishes;food;shelf,A person is walking in a hallway holding a book. They walk to a plate on a shelf and eat food from the plate.,c026 0.00 33.00;c156 8.90 31.40;c063 3.20 30.70;c061 2.70 30.90,31.54
4N5P9,SR1C,Closet / Walk-in closet / Spear closet,7,6,Yes,A person is laughing while undressing in their closet. They put their phone on a table.,closet;clothes;phone;sweatshirt;t shirt,"A person stands in a closet, holding a phone,  and takes off his sweatshirt and t shirt.;A person is standing in a closet laughing at something on their phone while undressing.",c016 0.00 20.80;c149 0.00 33.00;c155 1.30 18.60;c155 20.30 27.10;c017 16.90 24.40;c152 0.00 33.00;c015 0.00 24.30,31.79
IQ0ZX,WQ8Z,Living room,6,7,Yes,"A person is snuggling with a blanket, then the person begins grasping a cup of coffee.",blanket;coffee;cup;dish;glass;laptop;pillow;table,A person is snuggling with a blanket on a sofa and watching a video on a laptop while drinking from  a glass,c070 0.00 15.80;c072 0.30 14.00;c106 20.80 26.30;c010 0.00 27.00;c118 13.10 27.00;c076 0.00 15.60;c110 12.80 27.00;c052 0.00 3.40;c078 0.20 14.00;c051 0.00 3.50;c014 0.00 3.70;c107 13.10 27.00;c120 12.90 17.60,25.62
Y4LT8,KQI6,Kitchen,6,7,Yes,One person is sitting by a refrigerator.  Another person is washing dishes.,chair;dish;food;purse;refrigerator;sink,"This person is sitting on a chair next to the refrigerator, takes out a purse, puts it back in the fridge, then the camera turns to a person washing dishes at the sink.;One person is opening a fridge and pulling out some food while another person washes a pot in the sink.  They both talk to each other.",c063 5.30 12.30;c120 17.60 24.90;c059 0.00 19.40;c142 10.10 16.10;c062 5.30 18.90;c143 1.30 6.20;c121 17.30 31.00;c147 17.30 31.00,29.88
UYJVE,PO5L,Home Office / Study (A room in a house used for work),4,7,Yes,"A laptop sits on the cabinet a person is walking in, sneezing then is seen grasping the laptop and lying down on the sofa.",closet/cabinet;laptop;sofa,A person walks into a room and begins sneezing. They take a laptop to sit down on the couch and play with it;A person is walking around the room sneezing they take a laptop and sit down with it and they open it then they get back up,c048 23.10 33.80;c123 22.10 37.50;c151 23.50 30.40;c153 9.60 16.70;c154 33.50 40.00;c113 14.10 22.80;c050 18.80 27.50;c046 31.10 35.90;c049 31.50 37.30;c047 18.40 35.50,39.12
EWCV4,T7C3,Hallway,6,6,Yes,A person is lying on a pillow and removing their shoes and then closing a door in a hallway.,door;floor;pillow;shoe,"A man is laying on a floor in the doorway, then takes his shoes off and stands and walks away, leaving his pillow on the floor.",c078 0.00 18.20;c057 8.40 17.10;c154 17.50 27.40;c146 13.10 25.60;c124 0.00 6.70,30.21
VF3Y0,WG9D,Kitchen,4,1,No,A person is seen tidying up their shoes. They then start working on eating some food.,bowel;dish;food;pot;rag;shoe;stove,"A person wipes off the kitchen counter with a rag and then gets a pot and starts putting food from the pot onto a plate;A person is standing in a kitchen and appears to be knocking a shoe on the stove (presumably to knock dirt off.  They then put the shoe down, turn and grab a pot from the table behind them, put it on the stove, and begin to divide food up in bowelslk.",c062 6.00 10.00;c054 0.00 5.00;c119 1.20 9.40;c120 1.20 7.80;c118 1.90 7.40,9.46
9T11N,Z68L,Home Office / Study (A room in a house used for work),6,7,Yes,"A person is in a office holding a picture, they then start sneezing into a small towel rag.",chair;desk;paper/notebook;picture;table;towel,"A person takes a seat behind the desk. While sitting, the person coughs into a towel while looking at a desk picture.;A person sits down at a desk and picks up a picture to look at.  While looking at the picture, the person sneezes four times and grabs a towel to sneeze in.  After the sneezing, the person puts down the towel and the picture and gets up from the desk.",c033 6.20 31.00;c038 12.00 17.10;c088 0.00 11.20;c151 0.00 2.90;c011 0.60 31.00;c036 26.10 31.00;c084 0.00 31.00;c153 7.50 24.10;c009 26.50 31.00;c088 0.00 29.90;c115 0.00 30.50;c116 25.80 31.00;c117 0.00 4.40,30.46
JI705,25TD,Laundry room,6,7,Yes,"A person is laughing as they try to do their homework. The person stands up and stretches, then takes a bag of food from the nearby shelf.",bag;book;food;homework;paper;shelf,A person sits on a chair doing homework and laughing. The person gets up and pulls a bag out of a cabinet.,c115 0.00 16.10;c063 20.60 26.60;c149 4.90 15.10;c062 18.00 32.00;c020 20.20 32.00;c154 10.80 18.70;c023 18.50 32.00;c029 3.70 13.90;c021 18.50 32.00;c152 3.50 16.10;c145 0.00 14.40;c116 10.50 17.00,30.54
MJY7E,ZSRZ,Closet / Walk-in closet / Spear closet,6,6,Yes,A person throws a towel on top of a bag sitting in their walk in closet.  They then play a game on their phone as they leave the closet.,bad;bag;clothes;napkin;paper;phone;towel,"Person throws napkin in bag, picks up phone, looks at it, walks away with it.;A person is standing in closet throw away a paper into a bag and then walks off while looking at their phone",c018 0.00 2.70;c036 8.00 13.00;c003 0.00 4.40,11.96
NDD35,UTMU,Hallway,6,7,Yes,A person is running down the hallway holding a bottle of medicine and a blanket.  The person sneezes and holds onto the doorknob of the closet door for stability.,blanket;door;medicine,A person runs down a hallway holding a blanket and a bottle of medicine. The person stops and holds onto a doorknob.,c128 0.00 28.30;c070 0.00 28.50;c141 3.40 28.50;c150 0.00 11.90,29.21
4D5XD,YA10,Garage,6,7,Yes,"A person puts on a pair of shoes, then leaves through the doorway.",clothes;doorway;garage door;shoe,A person puts on some shoes. They walk out of the garage;A person is putting on their shoes in the garage. The person adjust their clothing and walks out of the garage.,c097 25.40 32.00;c055 0.40 25.60;c002 0.10 24.70;c001 0.30 24.80;c000 0.40 6.60,30.58
3W31X,T7C3,Dining room,5,7,Yes,A person is laughing and sneezing while standing bu the table with the groceries.,bag;groceries;table,"Person is standing, holding two bags with groceries and sneezing, then person puts groceries on table.",c009 22.70 27.00;c153 0.90 7.20;c130 22.70 27.00;c149 21.00 27.00;c020 0.00 27.00;c022 23.10 27.00;c152 3.10 27.00,26.04
Y05U8,ZEM0,Dining room,4,4,Yes,"A person is standing in the kitchen, reading a book. The person puts the book down and takes out their phone. The person grabs their coat and begins dressing to go outside.",book;clothes;jacket;phone;table,"A person sits down at a dining room table and starts flipping through a book, they pick up their phone and check it before putting their jacket on.",c018 19.10 25.40;c154 21.40 26.60;c151 0.00 3.70;c032 0.00 22.00;c148 25.00 34.00;c151 21.00 26.00;c001 25.00 34.00;c011 0.00 24.50;c002 25.10 30.20;c025 18.60 23.30;c015 20.00 28.10;c026 0.00 24.70;c027 0.00 4.20;c017 22.90 28.60,34.25
TYHA8,YMXV,Bedroom,6,6,Yes,"One person tidies up stray clothes and a pillow, sneezes, then closes a box on a shelf.",clothes;phone;pillow;shelf,A person is holding a phone. The person puts down the phone and starts to tidy up with a towel. A person then picks up the linens and moves them elsewhere.;The person picks up a phone and some pillows off of the bed. The person appears to be cleaning up the room.,c081 22.10 29.50;c076 12.90 26.90;c017 2.00 7.90;c079 14.60 26.90;c077 22.30 26.90,30.88
VML1Z,ID9V,Closet / Walk-in closet / Spear closet,3,7,Yes,"A  person stands, puts a broom in the closet, and then looks at the person's wardrobe in the closet.",closet;door,A person opens the closet and is looking through it.,c113 0.00 6.20;c008 0.00 5.60,29.33
K8HXX,5LWB,Stairs,6,7,Yes,"A person is lying on the stairs, struggling with a pair or shoes. Another person sits at a nearby desk and watches, laughing.",clothes;floor;shoe;steps,two people sit on the stairs while one tries to put his shoe on,c055 0.00 17.00;c149 0.00 17.00;c125 0.00 17.00;c148 0.00 17.00;c152 0.00 13.20,15.79
AXJUB,P6LJ,Living room,6,5,Yes,"A person is holding a towel in the basement. Smiling, the person picks up a sandwich and begins to eat it.",blanket;food;sandwich;table;towel,"A person carries a towel from the living room into the dining room. They pick up a sandwich from the table, walk back into the living room, and take a bite. The person fidgets with the towel for a second, takes another bite, puts the remainder of the sandwich back on the table and walks towards the camera to turn it off.",c065 12.50 31.90;c067 11.20 31.90;c068 25.70 35.10;c069 6.70 15.90;c033 0.00 32.30;c156 0.00 36.20;c071 32.20 37.10;c063 4.70 13.00;c009 28.80 34.50;c070 0.00 36.90;c073 0.00 37.30;c061 4.50 34.00,37.08
OWGPH,3H6W,Laundry room,7,5,Yes,"A person is undressing in the laundry room, throwing their clothes into the desk. The person wraps a blanket around themselves.",blanket;clothes;clothing,"A person takes off clothing, and then takes a blanket and wraps themselves in it.",c070 12.20 24.60;c072 12.60 25.70;c001 5.50 15.30;c003 7.40 15.30;c155 7.90 15.50,27.21
ZHGEV,YMXV,Bedroom,7,7,Yes,"The person was wearing a towel, smiling while leaving wet footprints on the floor.  The person stopped in the doorway.",door;towel,"A person is walking into a room then stands in a doorway, they are wrapped in a towel.;Person walks out room is wet and wearing a towel, walks towards door, opens it and stands in doorway.",c008 15.20 32.00,31.00
X0O65,Z68L,Recreation room / Man cave,6,7,Yes,A person is walking  with a sandwich in their hand then they sneeze in front of a mirror.,hand;sandwich;table;towel;window,"A person walks into a living room, holding a sandwich. The person looks at something on the table, sneezes, and then walks away.;A person walks around a living room while holding a towel.  The person then sneezes while looking at an object on a table.",c067 2.60 26.60;c153 7.70 19.90;c092 19.50 25.90,28.38
E7TLO,C7O9,Closet / Walk-in closet / Spear closet,6,6,Yes,"A person walks into a closet and takes a camera off the shelf. A second person standing nearby, watching, walks to the closet and the person inside turns around a takes a picture.",camera;chair;phone;picture;shelf,"A person stands in a doorway while another person walks past into a closet, takes a camera off of a shelf and takes a picture.",c087 24.90 32.00;c015 2.40 27.50;c059 2.10 27.80;c151 0.90 6.40,30.54
45BIP,38MV,Bedroom,6,6,Yes,A person is tidying up in front of a mirror when another person comes running through the doorway wrapped in a blanket.,blanket;door;glass;pillow;shoe;water,"A person is  picking up shoes from the floor then folding a blanket while another person walks in wearing a blanket on their shoulders.;A person grabbed shoes from the floor.  The person then folded a blanket.  Another person, wearing a snuggie, then attempted to distract the first person.  The first person ignored this tomfoolery.",c070 11.30 23.20;c072 10.30 22.70;c054 0.00 13.70;c075 11.00 26.00,24.58
2Q3ZJ,38MV,Bedroom,6,6,Yes,A person is undressing in front of a mirror and smiling at the reflection. Another person runs into the large closet while on the phone.,closet;clothes;doorway;mirror;phone;wardrobe,"There is a person standing in front of a mirror taking their clothes off.  Another person walks into the closet while talking on the phone.;A man is standing in front of a mirror in his mirror undressing. He takes a jacket off, then a shirt, then an undershirt. His wife walks into the room past him and goes into the closet talking on the phone. He begins to take off his belt.",c019 18.00 28.90;c113 19.50 25.80;c097 18.90 29.30;c096 0.00 29.40;c155 0.00 33.10;c112 20.30 29.40;c015 18.20 29.40;c002 0.00 33.10,38.33
7GF4E,4OHY,Dining room,2,7,Yes,"A person walks into the dining room, grasping a bag of food. The person puts the bag down on the table.",bag;food;groceries;table,A person walks around a kitchen holding a bag of groceries. The person places the bag of groceries down on the table.,c020 0.00 23.00;c009 20.00 25.00,29.42
3VEJY,HJJ4,Bedroom,6,7,Yes,A person is running around the bedroom with a pillow.  The person puts it down and then starts grasping at a bag.,pillow,A person is running around the bedroom holding a pillow,c076 0.00 10.90;c150 0.00 8.60;c080 6.20 10.90,16.50
R979C,0KZ7,Kitchen,7,7,Yes,One person holds groceries and laughs at another person who is wrapped in a blanket cooking and holding a book of recipes.,bag;blanket;book;food;groceries;paper;pot;stove,"A person is holding a bag and is standing behind a young person. The younger person is holding a notebook, wearing a blanket as a cape, and is stirring a pot on the stove.;Two people are in a kitchen.  Person 1 is holding a bag and laughing.  person 2 is wearing a blanket.  Person 2 is reading a book while cooking at the stove.",c026 0.00 29.00;c147 0.00 29.00;c032 0.00 29.00;c149 0.00 29.00;c115 0.00 29.00;c020 0.00 29.00;c152 0.00 29.00,28.04
S8X4A,QB52,Bathroom,6,6,Yes,A person in a bathroom starts sneezing and they walk out of the bathroom and set on their bed and turn on a television and start watching what is on the screen.,bed;doorway;mirror;television,"A person sneezes in the bathroom, then walks into the bedroom where they use a remote control to interact with a TV.",c135 9.40 31.00;c132 9.70 31.00;c153 1.30 8.30;c097 7.50 13.30;c096 0.70 10.10,30.04
D0V0Y,D0RU,Entryway (A hall that is generally located at the entrance of a house),5,7,Yes,"The person sneezes abruptly, then turns on the light.  They sit down and begin to put on their shoes.",chair;door;light;shoe,"A person walks through a door and into a room.  As the person enters, they sneeze three to four times, and then turn on a light.  After this they sit in a chair and begin to adjust their shoes.;A person walks through a doorway while sneezing.  The person then turns on a light, takes off a shoe, and puts another shoe on.",c104 14.50 20.50;c151 21.80 35.00;c097 6.20 12.00;c057 25.30 35.00;c055 26.00 35.00;c153 7.20 16.60;c054 30.30 35.00;c059 22.50 30.00;c006 12.30 17.80;c056 25.00 32.70,33.92
X8LT0,Z68L,Home Office / Study (A room in a house used for work),7,7,Yes,The person is standing in the home office opening a box in the doorway.,box;doorway;scissors;table,"A person is trying to open a box, they then use scissors to cut the tape from the box to open it and remove an item.",c039 46.90 54.80;c040 0.00 55.70;c041 2.80 40.10;c042 50.80 56.20;c044 40.70 48.60;c009 12.10 20.10;c043 16.10 21.50,56.46
MUI01,XXN8,Bedroom,6,6,Yes,"A person is grasping an armful of clothes. Then, standing, the person walks over to the television and begins dressing in front of it.",clothes;hair;television,"A woman moves a jacket, puts on a sweater, turns on a tv.",c001 4.40 9.60;c148 14.10 28.90;c144 19.60 24.70;c003 0.40 9.60;c000 0.00 17.80;c002 0.00 17.80;c004 0.00 17.10,35.92
SA9PB,NG2W,Closet / Walk-in closet / Spear closet,5,7,Yes,"A person is eating a snack while looking through their closet for a book. They find it up on a high shelf, underneath a blanket. They then pull out their phone, search for something and watch a video.",book;closet;clothes;door;food;phone;sandwich,"A person eats food, while looking for clothes in his closet. The person takes their phone out of their pocket and looks at it.;a person eats something as they look around in a closet and grab a book then pullout their phone",c016 21.00 32.00;c156 3.30 9.00;c061 0.70 9.50;c015 18.20 32.00;c065 0.50 32.00,31.17
MFQ5S,H8N1,Kitchen,6,7,Yes,Person is washing cabinet and shelf with cloth and starts smiling after looking at television.,cabinet;towel,"A person walks into the kitchen and begins scrubbing the cabinet doors.;Person walks into the kitchen and starts cleaning the cabinets by wiping them down, opening and closing them.",c113 0.00 5.30;c038 8.20 27.50;c114 0.00 32.20;c152 29.20 35.10;c112 6.00 12.80,39.08
PDRVY,P6LJ,Kitchen,6,6,Yes,A person standing in the pantry opens a cabinet door only to see a bag. Then they throw something into the pantry.,bag;closet/cabinet;door;something,"There is a person in the kitchen and they place something on the counter.  They walk over to a door, open the door and pick up a bag.  That same person then takes the bag into the room and closes the door.",c020 10.70 26.90;c023 9.00 16.40;c006 17.80 25.00;c008 3.60 12.80;c113 4.00 12.40;c024 22.70 27.30;c112 17.90 24.60,26.71
A6NH2,P6LJ,Kitchen,6,6,Yes,A person was leaving a bottle of medicine in the pantry while someone else was laughing at them while vacuuming out the pantry for not being able to reach the medicine shelf.,closet;counter;door;hose;medicine;vacuum,A person is vacuuming a closet in a kitchen using a hose for the clean up proccess.;A person in the kitchen opens a small closet door. The person places a vacuum cleaner attachment onto the end of a hose and vacuums out the closet.,c137 23.50 32.50;c008 3.00 20.00;c128 7.90 26.30;c137 26.60 125.00;c113 4.20 15.70;c114 62.00 125.00;c097 8.60 26.90,124.33
5CZRC,9Y7F,Kitchen,5,7,Yes,A person is standing over the sink holding a sandwich. The person begins drinking water from a glass as the person eats.,cup;food;glass;sandwich;sink;something;water,A person is eating a piece of fruit and drinking a glass of water.,c106 7.10 17.20;c156 0.00 7.90;c110 3.00 11.40;c061 0.00 33.00,31.92
